Year	Month	Day	ARROW_obs
1931	8	14	50957
1931	8	15	49934
1931	8	16	58016
1931	8	17	55938
1931	8	18	57138
1931	8	19	58769
1931	8	20	58846
1931	8	21	63135
1931	8	22	60603
1931	8	23	56126
1931	8	24	57565
1931	8	25	55751
1931	8	26	55046
1931	8	27	47247
1931	8	28	47363
1931	8	29	48963
1931	8	30	55590
1931	8	31	45849
1931	9	1	44304
1931	9	2	52037
1931	9	3	51705
1931	9	4	64501
1931	9	5	80579
1931	9	6	97867
1931	9	7	98825
1931	9	8	72410
1931	9	9	63762
1931	9	10	43538
1931	9	11	57498
1931	9	12	57344
1931	9	13	40666
1931	9	14	46688
1931	9	15	39552
1931	9	16	22549
1931	9	17	38895
1931	9	18	36935
1931	9	19	19702
1931	9	20	22479
1931	9	21	30512
1931	9	22	32769
1931	9	23	6909
1931	9	24	4738
1931	9	25	21962
1931	9	26	19902
1931	9	27	24092
1931	9	28	25716
1931	9	29	22743
1931	9	30	19515
1931	10	1	33491
1931	10	2	41744
1931	10	3	34339
1931	10	4	37427
1931	10	5	24463
1931	10	6	27242
1931	10	7	23946
1931	10	8	23600
1931	10	9	25140
1931	10	10	22739
1931	10	11	22364
1931	10	12	25333
1931	10	13	24465
1931	10	14	20989
1931	10	15	21627
1931	10	16	18005
1931	10	17	18897
1931	10	18	21746
1931	10	19	18139
1931	10	20	20779
1931	10	21	21481
1931	10	22	21366
1931	10	23	18121
1931	10	24	22592
1931	10	25	20329
1931	10	26	19981
1931	10	27	14999
1931	10	28	18757
1931	10	29	18459
1931	10	30	18291
1931	10	31	18506
1931	11	1	18532
1931	11	2	21773
1931	11	3	21753
1931	11	4	18990
1931	11	5	20880
1931	11	6	22555
1931	11	7	20225
1931	11	8	16862
1931	11	9	19805
1931	11	10	19638
1931	11	11	18766
1931	11	12	19344
1931	11	13	21688
1931	11	14	17881
1931	11	15	19514
1931	11	16	17785
1931	11	17	11865
1931	11	18	14920
1931	11	19	14102
1931	11	20	13333
1931	11	21	9895
1931	11	22	16936
1931	11	23	16439
1931	11	24	13745
1931	11	25	10926
1931	11	26	13295
1931	11	27	10024
1931	11	28	10370
1931	11	29	14715
1931	11	30	7635
1931	12	1	11923
1931	12	2	14449
1931	12	3	13511
1931	12	4	13870
1931	12	5	13568
1931	12	6	14993
1931	12	7	12814
1931	12	8	9789
1931	12	9	11329
1931	12	10	11771
1931	12	11	13335
1931	12	12	8308
1931	12	13	10231
1931	12	14	8857
1931	12	15	8349
1931	12	16	11124
1931	12	17	11339
1931	12	18	11390
1931	12	19	12135
1931	12	20	9435
1931	12	21	11732
1931	12	22	12084
1931	12	23	11759
1931	12	24	11376
1931	12	25	9461
1931	12	26	9040
1931	12	27	11171
1931	12	28	8215
1931	12	29	8073
1931	12	30	10849
1931	12	31	8058
1932	1	1	10932
1932	1	2	6292
1932	1	3	10982
1932	1	4	9292
1932	1	5	11716
1932	1	6	9332
1932	1	7	8336
1932	1	8	8375
1932	1	9	6772
1932	1	10	8046
1932	1	11	6396
1932	1	12	8967
1932	1	13	7031
1932	1	14	9250
1932	1	15	7302
1932	1	16	7352
1932	1	17	10447
1932	1	18	8216
1932	1	19	7491
1932	1	20	7250
1932	1	21	7717
1932	1	22	9604
1932	1	23	9441
1932	1	24	4310
1932	1	25	8952
1932	1	26	9451
1932	1	27	5163
1932	1	28	9994
1932	1	29	9867
1932	1	30	4125
1932	1	31	2517
1932	2	1	9212
1932	2	2	5188
1932	2	3	10455
1932	2	4	8057
1932	2	5	9673
1932	2	6	11582
1932	2	7	8214
1932	2	8	7966
1932	2	9	7431
1932	2	10	4658
1932	2	11	7176
1932	2	12	7340
1932	2	13	8090
1932	2	14	4891
1932	2	15	7432
1932	2	16	7364
1932	2	17	4743
1932	2	18	5517
1932	2	19	7699
1932	2	20	5083
1932	2	21	7725
1932	2	22	10297
1932	2	23	5079
1932	2	24	10644
1932	2	25	13077
1932	2	26	11052
1932	2	27	18147
1932	2	28	21199
1932	2	29	17800
1932	3	1	19515
1932	3	2	12285
1932	3	3	12538
1932	3	4	17922
1932	3	5	12982
1932	3	6	15190
1932	3	7	11379
1932	3	8	13292
1932	3	9	11775
1932	3	10	16429
1932	3	11	10836
1932	3	12	15100
1932	3	13	10156
1932	3	14	15130
1932	3	15	13087
1932	3	16	13139
1932	3	17	13847
1932	3	18	13064
1932	3	19	10444
1932	3	20	13184
1932	3	21	15254
1932	3	22	13238
1932	3	23	17076
1932	3	24	13708
1932	3	25	13974
1932	3	26	14097
1932	3	27	14175
1932	3	28	18688
1932	3	29	16380
1932	3	30	16200
1932	3	31	21661
1932	4	1	17848
1932	4	2	17675
1932	4	3	19609
1932	4	4	17105
1932	4	5	23087
1932	4	6	20667
1932	4	7	20871
1932	4	8	19006
1932	4	9	17195
1932	4	10	19821
1932	4	11	21284
1932	4	12	21492
1932	4	13	24490
1932	4	14	32453
1932	4	15	34393
1932	4	16	37037
1932	4	17	30438
1932	4	18	30373
