year	month	day	ARROW_sim
1981	8	21	34432.555
1981	8	22	37391.68
1981	8	23	37471.215
1981	8	24	36381.809
1981	8	25	36407.238
1981	8	26	34868.977
1981	8	27	30417.236
1981	8	28	25620.359
1981	8	29	21923.797
1981	8	30	19865.348
1981	8	31	20649.189
1981	9	1	23069.557
1981	9	2	27161.729
1981	9	3	35504.664
1981	9	4	45560.277
1981	9	5	52652.145
1981	9	6	54443.227
1981	9	7	52055.996
1981	9	8	46920.266
1981	9	9	38438.441
1981	9	10	28980.814
1981	9	11	21596.549
1981	9	12	16766.416
1981	9	13	14442.154
1981	9	14	13541.963
1981	9	15	12628.196
1981	9	16	11497.632
1981	9	17	10236.479
1981	9	18	8995.4639
1981	9	19	8681.7646
1981	9	20	10644.332
1981	9	21	15489.712
1981	9	22	21757.072
1981	9	23	25813.748
1981	9	24	26778.105
1981	9	25	27402.201
1981	9	26	28388.064
1981	9	27	27501.654
1981	9	28	24203.76
1981	9	29	21035.785
1981	9	30	20552.186
1981	10	1	21505.689
1981	10	2	21522.551
1981	10	3	23775.682
1981	10	4	28592.914
1981	10	5	32568.389
1981	10	6	35452.742
1981	10	7	36379.453
1981	10	8	34966.641
1981	10	9	32998.293
1981	10	10	31715.443
1981	10	11	29463.328
1981	10	12	25578
1981	10	13	22444.641
1981	10	14	20528.469
1981	10	15	17279.684
1981	10	16	12732.96
1981	10	17	9132.7559
1981	10	18	6666.1665
1981	10	19	5285.9136
1981	10	20	4686.2627
1981	10	21	4475.5996
1981	10	22	4297.0698
1981	10	23	4014.2693
1981	10	24	3705.759
1981	10	25	3366.9844
1981	10	26	3142.9275
1981	10	27	3815.9746
1981	10	28	7354.2056
1981	10	29	14734.676
1981	10	30	26730.336
1981	10	31	36999.914
1981	11	1	38634.047
1981	11	2	34893.465
1981	11	3	30189.848
1981	11	4	26094.621
1981	11	5	22552.301
1981	11	6	19318.756
1981	11	7	15903.419
1981	11	8	12258.55
1981	11	9	8698.6396
1981	11	10	5839.8442
1981	11	11	4052.1643
1981	11	12	3152.8965
1981	11	13	3129.6143
1981	11	14	4522.1177
1981	11	15	6778.3506
1981	11	16	8621.0811
1981	11	17	9733.5527
1981	11	18	9831.4102
1981	11	19	9262.2988
1981	11	20	8025.0635
1981	11	21	6474.144
1981	11	22	5608.3027
1981	11	23	5395.25
1981	11	24	5563.0522
1981	11	25	5400.3438
1981	11	26	4636.54
1981	11	27	3750.5032
1981	11	28	2938.0632
1981	11	29	2228.4683
1981	11	30	1731.0861
1981	12	1	1501.0326
1981	12	2	1520.135
1981	12	3	1980.944
1981	12	4	2271.4551
1981	12	5	2052.9966
1981	12	6	1884.3007
1981	12	7	2224.5469
1981	12	8	2518.0344
1981	12	9	2185.3059
1981	12	10	1879.5339
1981	12	11	2060.4316
1981	12	12	2533.8059
1981	12	13	2386.7317
1981	12	14	1815.5913
1981	12	15	1436.4691
1981	12	16	1163.4227
1981	12	17	1041.0253
1981	12	18	979.5788
1981	12	19	955.80896
1981	12	20	949.0838
1981	12	21	940.64459
1981	12	22	918.32324
1981	12	23	891.71301
1981	12	24	888.04205
1981	12	25	887.21613
1981	12	26	885.90118
1981	12	27	884.35541
1981	12	28	882.79694
1981	12	29	881.60413
1981	12	30	880.58868
1981	12	31	879.66187
1982	1	1	878.78113
1982	1	2	877.92352
1982	1	3	877.08722
1982	1	4	876.31433
1982	1	5	875.68469
1982	1	6	875.45386
1982	1	7	881.56659
1982	1	8	904.98749
1982	1	9	944.72656
1982	1	10	980.94543
1982	1	11	988.18274
1982	1	12	944.70703
1982	1	13	886.99335
1982	1	14	852.42322
1982	1	15	857.26031
1982	1	16	898.7793
1982	1	17	897.68958
1982	1	18	864.03479
1982	1	19	842.15784
1982	1	20	823.19769
1982	1	21	813.27844
1982	1	22	808.98676
1982	1	23	808.16711
1982	1	24	807.54742
1982	1	25	807.01764
1982	1	26	806.17749
1982	1	27	823.41547
1982	1	28	842.36987
1982	1	29	833.97913
1982	1	30	820.36884
1982	1	31	810.85944
1982	2	1	806.67322
1982	2	2	805.75873
1982	2	3	803.45209
1982	2	4	801.59235
1982	2	5	800.04547
1982	2	6	798.91528
1982	2	7	797.37128
